"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Referenced in sitemaps"	"No. of href inlinks"	"No. of redirect inlinks"	"No. of canonical inlinks"	"No. of hreflang inlinks"	"No. of pagination inlinks"	"No. of CSS inlinks"	"No. of IMG inlinks"	"No. of JS inlinks"
"20"	"https://www.amadolibros.com/libro/MLU644193002/diagnostico-operatorio-en-adolescentes-y-adultos"	"Diagnostico Operatorio en Adolescentes y Adultos | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU628859796/todos-somos-estrellas-meera-lee-patel"	"Todos Somos Estrellas. Meera Lee Patel | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU636157094/todo-messi-jordi-punti"	"Todo Messi - Jordi Punti | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU623126429/de-la-mejor-manera-de-ejercitar-el-poder-sobre-las-mujeres"	"De la Mejor Manera de Ejercitar el Poder sobre las… | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU643320908/laberintos-esi-inclusion-vexina-sexual"	"Laberintos Esi Inclusión Vexina Sexual | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU627903238/los-anormales-de-michel-foucault"	"Los Anormales de Michel Foucault | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU602047228/libro-intervenciones-en-la-clinica-psicoanalitica-con-nino"	"Libro - Intervenciones en la Clínica Psicoanalítica… | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU625822973/cannabis-consciente-vergara-karina"	"Cannabis Consciente - Vergara,karina | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU631052468/donde-hay-amor-esta-dios-las-ensenanzas-teresa-de-calcuta"	"Donde Hay Amor Esta Dios las Enseñanzas Teresa de… | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"20"	"https://www.amadolibros.com/libro/MLU640549270/mundo-escuela-equidad-inclusion"	"Mundo Escuela Equidad Inclusión | Amado Libros"	"text/html;charset=utf-8"	"false"	"200"	"0"	"https://www.amadolibros.com/sitemap-books-active.xml"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
