prioridad,mlu,titulo,isbn,stock,publicaciones_mismo_isbn,categoria,enriquecida,ficha_ampliada,falta,motivo,google_books,open_library,bne,loc,dnb
5409,MLU669191310,Gothic Tarot (coleccion Anne Stokes) (78 Cartas + Libro,,1,1,esoterismo-tarot/tarot-oraculos,no,si,páginas · temas,sin_isbn_valido,pendiente,pendiente,pendiente,pendiente,pendiente
5410,MLU669511148,Gothic Tarot,,1,1,esoterismo-tarot/tarot-oraculos,no,si,páginas · temas,sin_isbn_valido,pendiente,pendiente,pendiente,pendiente,pendiente
5411,MLU672476860,Diccionario Espasa De Primaria Espasa Calpe,9788467030952,1,1,idiomas-aprendizaje,si,si,año · temas,falta_google_books,pendiente,encontrado,encontrado,error,sin_datos
5412,MLU693240134,Jung Dos Escritos Sobre Psicología Analítica,9788481647600,1,1,psicologia/psicologia-clinica,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,encontrado
5413,MLU694972166,La Ciudad De La Alegría Dominique Lapierre Usado Excelente,9788432240034,1,1,historia,si,si,editorial · temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5414,MLU697633691,Ribé Técnica En Psicoterapia Analítica Grupal,9788425447044,1,1,psicologia/psicoterapia,si,si,editorial · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5415,MLU697809225,Muñecos Metáforas Y Soluciones Constelaciones Familiares,9788433023551,1,1,desarrollo-personal/constelaciones-familiares,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5416,MLU697821013,Echar Raíces Simone Weil Ensayo Filosofía,9788413643571,1,1,filosofia-ciencias-sociales/filosofia,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5417,MLU698153905,Silenciero Obsesión Por Ruido Silencio Locura Di Benedetto,9789879396001,1,1,literatura-ficcion/novela,si,si,editorial · temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5418,MLU698429253,Criar Con Apego Seguro Estremera Crianza Respetuosa,9788434436442,1,1,familia-crianza/crianza,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5419,MLU701300230,Los Gatos Que Observaban A Los Niños Dormidos,9788418520297,1,1,infantil-juvenil/literatura-infantil,si,si,editorial · páginas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5420,MLU704217332,Misery - Stephen King - Novela De Suspenso Psicológico,9788401498947,1,1,literatura-ficcion/novela,si,si,editorial · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5421,MLU887513712,Gran Libro De Kotlin Programación Guía Completa Con Detalle,9788426735430,1,1,ciencia-tecnologia/programacion,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5422,MLU912837822,Narcisistas: Relaciones Tóxicas Y Método De Sanación,9788410941649,1,1,desarrollo-personal,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5423,MLU992772922,Regresar Afuera Relatos Filosoficos Para Tiempos De Busqueda,9788410086623,1,1,literatura-ficcion/cuento,si,si,páginas · temas,falta_google_books,pendiente,pendiente,pendiente,sin_datos,sin_datos
5424,MLU1017755546,Álvarez-ossorio Gaza Crónica De Una Nakba Anunciada,9788410670099,2,2,historia/historia-mundial,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5425,MLU1017794666,Nightwing A Por Grayson Dc Comics Dick Grayson,9788410134331,2,2,comics-manga,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5426,MLU1019989638,"Gaza: Crónica De Una Nakba Anunciada, De Vv.aa., Vol. 1. Editorial Los Libros De La Catarata, Tapa Blanda, Edición 1 En Español",9788410670099,2,2,historia/historia-mundial,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5427,MLU1041238284,La Vida Secreta Árboles Peter Wohlleben Naturaleza Tapa Dura,9788419875983,2,2,naturaleza-animales,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5428,MLU1041433370,"Vida Secreta De Los Arboles, La, De Aa.vv.., Vol. 1. Editorial Lunwerg Editores, Tapa Blanda En Español, 2024",9788419875983,2,2,naturaleza-animales,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5429,MLU1045513512,"Sueño De Yugoslavia, El, De Jordi Cumplido Mora. Editorial Bellaterra, Ediciones En Español",9788419160362,2,2,historia/historia-mundial,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,sin_datos,sin_datos
5430,MLU1045526508,"La Ovejita Que Sabía Contar Y Otros Cuentos Con Beso Para Las Buenas Noches (pequeñas Manitas), De Pérez-sauquillo Muñoz, Vanesa. Editorial Beascoa En Español",9788448856441,2,2,infantil-juvenil/literatura-infantil,si,si,editorial,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5431,MLU1066418878,"Las Buenas Mamas Tienen Pensamientos Aterradores Pero No Pasa Nada, De Kleiman, Karen. Editorial Ob Stare, Tapa Blanda En Español",9788418956218,2,2,familia-crianza/maternidad,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5432,MLU1097349384,"Nightwing Vol. 02: A Por Grayson, De Taylor, Tom. Editorial Ecc Ediciones, Tapa Dura En Español, 2024",9788410134331,2,2,comics-manga,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5433,MLU1180700870,"Despertar, De Oton Catalan, Josep. Editorial Editorial Sal Terrae, Tapa Blanda En Español, 2024",9788429331899,2,2,religion-espiritualidad/espiritualidad,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5434,MLU1240880742,"Cuaderno De Actividades Preescolar, De Carle, Eric. Editorial Beascoa, Tapa Blanda En Español, 2024",9788448868505,2,2,infantil-juvenil/actividades-aprendizaje,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5435,MLU1314314618,"La Biblia, De Godfrey Jan. San Pablo, Editorial, Tapa Dura En Español, 2014",9788428543101,2,2,religion-espiritualidad/biblia,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5436,MLU1317541200,Diagnóstico Por La Imagen Para Fisioterapeutas,9788411061810,2,2,medicina-salud,si,si,temas,falta_google_books,pendiente,sin_datos,encontrado,error,sin_datos
5437,MLU1346573800,Natalia Ginzburg Las Pequeñas Virtudes Ensayo Acantilado,9788495359667,2,2,filosofia-ciencias-sociales,si,si,temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5438,MLU1346573802,Las Pequeñas Virtudes. Natalia Ginzburg,9788495359667,2,2,literatura-ficcion,si,si,temas,falta_google_books,pendiente,encontrado,encontrado,sin_datos,sin_datos
5439,MLU1398581150,Los Contemplativos De Pablo D Ors Editorial Galaxia Gutenberg Tapa Dura En Español 2023,9788419738059,2,2,filosofia-ciencias-sociales,si,si,temas,falta_google_books,pendiente,pendiente,pendiente,encontrado,sin_datos
5440,MLU1428441344,La Autobiografía Secreta Del P. Pío - Log,9788490613924,2,2,religion-espiritualidad,si,si,temas,falta_google_books,pendiente,encontrado,sin_datos,error,sin_datos
5441,MLU1428480088,Castelli Autobiografía Secreta Del Padre Pío Libro,9788490613924,2,2,religion-espiritualidad,si,si,temas,falta_google_books,pendiente,encontrado,sin_datos,error,sin_datos
